episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
217,50.2024,292,3.4,0.467,0.2622,84,0.028,0.45,-0.80,0.0722,0.1274,0.035,7.7
218,34.1099,283,3.5,0.453,0.2644,80,0.029,0.43,-0.82,0.0776,0.1287,0.043,7.7
219,34.5125,265,3.5,0.480,0.2622,82,0.029,0.41,-0.78,0.0730,0.1302,0.052,7.7
220,30.8327,234,3.4,0.487,0.2599,83,0.028,0.36,-0.77,0.0783,0.1285,0.060,7.7
221,38.5972,270,3.5,0.453,0.2613,89,0.026,0.41,-0.82,0.0707,0.1245,0.067,7.7
222,49.3297,271,3.4,0.487,0.2653,82,0.029,0.42,-0.77,0.0846,0.1183,0.050,7.8
223,30.7328,241,3.5,0.427,0.2638,83,0.028,0.37,-0.86,0.0819,0.1143,0.042,7.8
224,44.6702,300,3.3,0.520,0.2684,87,0.027,0.46,-0.72,0.0762,0.1184,0.034,7.9
225,45.4845,301,3.3,0.447,0.2708,80,0.029,0.46,-0.83,0.0732,0.1152,0.043,7.9
226,31.4907,213,3.4,0.507,0.2762,70,0.033,0.33,-0.74,0.0754,0.1141,0.044,7.8
227,47.0445,308,3.4,0.393,0.2827,81,0.029,0.47,-0.91,0.0774,0.1200,0.036,7.8
228,21.2107,236,3.3,0.533,0.2879,83,0.028,0.36,-0.70,0.0780,0.1213,0.035,7.7
229,39.9727,242,3.2,0.433,0.2856,82,0.029,0.37,-0.85,0.0785,0.1277,0.036,7.6
230,33.0232,289,3.4,0.487,0.2868,79,0.030,0.44,-0.77,0.0773,0.1280,0.054,7.7
231,33.8576,252,3.5,0.433,0.2845,83,0.028,0.39,-0.85,0.0781,0.1257,0.056,7.7
232,26.9406,246,3.4,0.507,0.2878,85,0.028,0.38,-0.74,0.0751,0.1359,0.058,7.6
233,32.0486,217,3.3,0.433,0.2934,82,0.029,0.33,-0.85,0.0725,0.1436,0.064,7.7
234,34.7998,263,3.4,0.540,0.2890,78,0.030,0.40,-0.69,0.0692,0.1508,0.038,7.7
235,41.2375,237,3.4,0.460,0.2889,77,0.030,0.36,-0.81,0.0757,0.1519,0.037,7.7
236,65.1144,271,3.5,0.453,0.2939,75,0.031,0.42,-0.82,0.0719,0.1440,0.038,7.7
237,41.3074,290,3.4,0.500,0.2905,85,0.028,0.45,-0.75,0.0738,0.1349,0.028,7.8
238,45.8013,269,3.3,0.473,0.2881,82,0.029,0.41,-0.79,0.0749,0.1345,0.045,7.7
239,54.6933,262,3.5,0.447,0.2842,79,0.030,0.40,-0.83,0.0745,0.1284,0.038,7.6
240,38.2764,244,3.5,0.507,0.2856,80,0.029,0.38,-0.74,0.0729,0.1200,0.056,7.7
241,30.4721,252,3.5,0.447,0.2925,77,0.030,0.39,-0.83,0.0757,0.1176,0.068,7.8
242,30.7625,258,3.4,0.467,0.2943,79,0.030,0.40,-0.80,0.0880,0.1282,0.067,7.9
243,27.8713,243,3.4,0.500,0.3000,83,0.028,0.37,-0.75,0.0795,0.1370,0.077,7.9
244,38.4008,236,3.4,0.453,0.2995,83,0.028,0.36,-0.82,0.0759,0.1444,0.057,7.8
245,20.8626,223,3.4,0.520,0.3036,87,0.027,0.34,-0.72,0.0737,0.1405,0.056,7.7
246,40.8372,259,3.4,0.460,0.3028,84,0.028,0.40,-0.81,0.0720,0.1418,0.046,7.7
247,38.6952,271,3.3,0.473,0.2982,76,0.031,0.42,-0.79,0.0763,0.1422,0.055,7.8
